%%%%%%%%%%%%                           %%%%%                       %%%%%%%%%     %%%%%%%%%%
%%%%%%%%%%%%%                          %%%%%                       %%%%%%%%%       %%%%%%%%
%%%%%%%%%%%%%%                         %%%%%%                      %%%%%%%%%          %%%%%
%%%%%%%%%%%%%%%                        %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%                   %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%                  %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%                  %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%                 %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%         %%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%%   %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%%%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%%%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%%     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%        %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%          %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%%%%%%            %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%%%%              %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%%                %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%                 %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%%%%                   %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%                       %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%                       %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%%                         %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%%                         %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%%                         %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%          %               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%         %%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%         %%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%         %%%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%        %%%%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%        %%%                %%%%                        %%%%%%%%%               
%%%%%%%%%%%        %%%%                %%%%                        %%%%%%%%%               
%%%%%%%%%%%        %%%                 %%%%                        %%%%%%%%%               
%%%%%%%%%%%       %%%%                 %%%%                        %%%%%%%%%               
%%%%%%%%%%        %%%                  %%%%                        %%%%%%%%%               
%%%%%%%%%%       %.%%                  %%%%                        %%%%%%%%%               
%%%%%%%%%        .%%                   %%%%                        %%%%%%%%%               
%%%%%%%%%       %%.%                   %%%%                        %%%%%%%%%               
%%%%%%%%%       ..%                    %%%%                        %%%%%%%%%               
%%%%%%%%       %%%.                    %%%%                        %%%%%%%%%               
%%%%%%%%       ...%                    %%%%                        %%%%%%%%%               
%%%%%%%%       %%%.                    %%%%                        %%%%%%%%%               
%%%%%%%       %...%                    %%%%                        %%%%%%%%%               
%%%%%%%       .%%%%                    %%%%                        %%%%%%%%%               
%%%%%%        %...                     %%%%                        %%%%%%%%%               
%%%%%%       %.%%%                     %%%%                        %%%%%%%%%               
%%%%%%       %%...                     %%%%                        %%%%%%%%%               
%%%%%        ..%%%                     %%%%                        %%%%%%%%%               
%%%%%       %%%..                      %%%%                        %%%%%%%%%               
%%%%%     % %..%%                      %%%%                        %%%%%%%%%               
%%%%     %  %%%.%                      %%%%                        %%%%%%%%%               
%%%%     % %%%%%                       %%%%                        %%%%%%%%%               
%%%     %% %%%%%                       %%%%                        %%%%%%%%%               
%%%     %% %%%%%                       %%%%                        %%%%%%%%%               
%%%    %% %%%%                         %%%%                        %%%%%%%%%               
%%     %% %%%%                         %%%%                        %%%%%%%%%               
%%    %%  %%%                          %%%%                        %%%%%%%%%               
%     %%  %%                           %%%%                        %%%%%%%%%               
%     %% %%%                           %%%%                        %%%%%%%%%               
%    %%  %%%                           %%%%                        %%%%%%%%%               
     %%  %%                            %%%%                        %%%%%%%%%               
    %%% %%%                            %%%%                        %%%%%%%%%               
    %%  %%%                            %%%%                        %%%%%%%%%               
    %%  %%%                            %%%%                        %%%%%%%%%               
   %%   %%                             %%%%                        %%%%%%%%%               
   %%  %%%                             %%%%                        %%%%%%%%%              %
  %%%  %%%                             %%%%                        %%%%%%%%%              %
  %%   %%                              %%%%                        %%%%%%%%%              %
  %%  %%%                              %%%%                        %%%%%%%%%             %%
 %%   %%%                              %%%%                        %%%%%%%%%             %%
 %%   %%%                              %%%%                        %%%%%%%%%            %%%
 %   %%%                               %%%%                        %%%%%%%%%            %%%
%%   %%%                               %%%%                        %%%%%%%%%            %%%
%    %%%                               %%%%                        %%%%%%%%%           %%%%
%    %%                                %%%%                        %%%%%%%%%           %%%%
    %%%                                %%%%                        %%%%%%%%%          %%%%%
  . %%%                                %%%%                        %%%%%%%%%          %%%%%
 .. %%                                 %%%%                        %%%%%%%%%          %%%%%
 . %%%                                 %%%%                        %%%%%%%%%         %%%%%%
.. %%%                                 %%%%                        %%%%%%%%%         %%%%%%
..%%%                                  %%%%                        %%%%%%%%%         %%%%%%
..%%%                                  %%%%                        %%%%%%%%%        %%%%%%%
. %%%                                  %%%%                        %%%%%%%%%        %%%%%%%
.%%%                                   %%%%                        %%%%%%%%%       %%%%%%%%
.%%%                                   %%%%                        %%%%%%%%%       %%%%%%%%
%%%%                                   %%%%                        %%%%%%%%%       %%%%%%%%
%%%                                    %%%%                        %%%%%%%%%      %%%%%%%%%
%%%                                    %%%%                        %%%%%%%%%      %%%%%%%%%
%%                                     %%%%                        %%%%%%%%%      %%%%%%%%%
%%                                     %%%%                        %%%%%%%%%     %%%%%%%%%%
%                                      %%%%                        %%%%%%%%%     %%%%%%%%%%
%                                      %%%%                        %%%%%%%%%    %%%%%%%%%%%
                                       %%%%                        %%%%%%%%%    %%%%%%%%%%%
                                       %%%%                        %%%%%%%%%    %%%%%%%%%%%
                                       %%%%                        %%%%%%%%%   %%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%   %%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%   %%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%  %%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%  %%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%  %%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%% %%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%% %%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%% %%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                    %%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                   %%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                 %%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                %%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                              %%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                            %%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                          %%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                        %%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                      %%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                     %%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                    %%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                   %%%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                   %%%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                   %%%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                    %%         %%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                %%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                  %%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                  %%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                   %%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                   %%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                    %%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                    %%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%        %%%%%%          %%%%%%%%% %%%%%%%%%%%%%%
                                      %%%%%        %%%%%%%%        %%%%%%%%%  %%%%%%%%%%%%%
P                                      %%%%        %%%%%%%%%%      %%%%%%%%%   %%%%%%%%%%%%
